발매일,기획사,앨범id,앨범,평점,좋아요수,앨범 타입,가수
20171113,"YMC엔터테인먼트, STONE MUSIC ENTERTAINMENT",10111029,1-1=0 (NOTHING WITHOUT YOU),3.9714959,96141,정규,Wanna One (워너원)
20170324,"(주) 카카오 M, ㈜페이브엔터테인먼트",10047890,밤편지,4.0620506,39770,싱글,아이유
20180615,(주)YG엔터테인먼트,10176415,SQUARE UP,3.6959750,36944,EP,BLACKPINK
20180319,"YMC엔터테인먼트, STONE MUSIC ENTERTAINMENT",10144723,0+1=1 (I PROMISE YOU),3.3352943,77151,EP,Wanna One (워너원)
20180912,냠냠엔터테인먼트,10203500,헤어지는 중,3.1532258,5113,싱글,펀치 (Punch)
20181008,AOMG,10210198,시간이 들겠지,4.0257246,6953,싱글,로꼬
20180904,㈜메이크어스엔터테인먼트,10200838,WARNING,3.7384779,11380,EP,선미
20171014,먼데이키즈 컴퍼니,10102177,가을 안부,4.5823145,6106,싱글,먼데이 키즈 (Monday Kiz)
20180918,Stone Music Entertainment,10205438,우리 그만하자,4.1733221,10059,싱글,로이킴
20180709,(주)JYP엔터테인먼트,10183127,Summer Nights,3.1034380,22661,EP,TWICE (트와이스)
20180604,"SWING Entertainment, Stone Music Entertainment",10173365,1÷χ=1 (UNDIVIDED),3.8493088,68376,EP,Wanna One (워너원)
20181001,(주)YG엔터테인먼트,10208358,NEW KIDS : THE FINAL,3.4965053,17778,EP,iKON
20110103,Universal Music,1123959,Greatest Hits (2011 Remaster),4.7998337,11939,재발매,Queen
20180212,"Stone Music Entertainment, MMO Entertainment",10137574,그때 헤어지면 돼,4.0726990,11778,싱글,로이킴
